"navn","addresse","Org_nr","Sektor","godkjenning","lat","lng","postal_town","administrative_area_level_2","administrative_area_level_1","political","DVH_regioner_2019","Kommunenavn_2020"
"Wormstrand Elisabeth","Tuskinvegen 261, Ruud Søndre , 2219 BRANDVAL","Org. nr. 969 358 212","Økologisk landbruksproduksjon","Gyldig fra 16.06.2020 til 30.12.2021",60.3334813,11.9800732,"Brandval","Kongsvinger","Innlandet","none","Vestre Østland DVH","KONGSVINGER"
"Wøyen Kari","Vikveien 521 , 3185 SKOPPUM","Org. nr. 997 706 285","Økologisk landbruksproduksjon","Gyldig fra 27.09.2020 til 30.12.2021",59.3893422,10.4275189,"Skoppum","Horten","Vestfold og Telemark","none","Vestre Østland DVH","HORTEN"
"A. Nilsson & Co AS Fruktringen Oslo","Håndverksveien 31 , 1405 LANGHUS","Org. nr. 914 653 177","Foredling, import og omsetning","Gyldig fra 02.12.2020 til 30.12.2021",59.7671941,10.8334213,"Langhus","Nordre Follo","Viken","none","VIKEN","#N/A"
"A. Strøm-Larsen AS","Vogtsgt 53 , 0477 OSLO","Org. nr. 933 112 993","Foredling, import og omsetning","Gyldig fra 02.12.2020 til 30.12.2021",59.9350757,10.7653041,"Oslo","Oslo","Oslo","Bydel Sagene","Oslo DVH","OSLO"
"A.C. Perch's Thehandel Norge AS","Kirkegata 5 , 0153 OSLO","Org. nr. 914 114 063","Foredling, import og omsetning","Gyldig fra 09.09.2020 til 30.12.2021",59.9092698,10.7425102,"Oslo","Oslo","Oslo","Sentrum","Oslo DVH","OSLO"
"Aabakken Guro Karoline","Helgbustadveien 81 , 7243 KVENVÆR","Org. nr. 998 460 573","Foredling, import og omsetning","Gyldig fra 07.07.2020 til 30.12.2021",63.5324831,8.3914129,0,0,"none","none","#N/A","#N/A"
"Aalstad Amund","Olsrudvegen 33 , 2322 RIDABU","Org. nr. 992 932 074","Foredling, import og omsetning","Gyldig fra 02.11.2020 til 30.12.2021",60.8009973,11.1742132,"Ridabu","Hamar","Innlandet","none","Vestre Østland DVH","HAMAR"
"Aamo Jan Arvid","Vangrøftdalsveien 129 , 2550 OS I ØSTERDALEN","Org. nr. 993 019 410","Økologisk landbruksproduksjon","Gyldig fra 21.10.2020 til 30.12.2021",62.5526263,11.0884673,"Os i Østerdalen","Os","Innlandet","none","Vestre Østland DVH","#N/A"
"Aaram Gard v/Vendel Aaram","Fitjadalsvegen 10 , 5610 ØYSTESE","Org. nr. 983 239 935","Økologisk landbruksproduksjon","Gyldig fra 25.06.2020 til 30.12.2021",60.3908804,6.1932123,"Øystese","Kvam","Vestland","none","Vest Norge DVH","KVAM"
"Aarekol Arnfinn Svartveit","Gamlevegen 294 , 5777 GRIMO","Org. nr. 812 629 832","Økologisk landbruksproduksjon","Gyldig fra 21.10.2020 til 30.12.2021",60.3850181,6.6428487,"Grimo","Ullensvang","Vestland","none","Vest Norge DVH","ULLENSVANG"
"Aarlien Stig","Evenrudvegen 5 , 2350 NES PÅ HEDMARK","Org. nr. 996 374 742","Økologisk landbruksproduksjon","Gyldig fra 02.06.2020 til 30.12.2021",60.7486342,10.9618353,"Nes På Hedmark","Ringsaker","Innlandet","none","Vestre Østland DVH","RINGSAKER"
"Aarseth Alisander","Fjordavegen 2375 , 6817 NAUSTDAL","Org. nr. 992 872 918","Økologisk landbruksproduksjon","Gyldig fra 01.11.2020 til 30.12.2021",61.552281,5.8448236,0,"Sunnfjord","Vestland","none","Vest Norge DVH","#N/A"
"Aarstad John Frithjof","Orderudveien 22 , 1860 TRØGSTAD","Org. nr. 869 731 102","Økologisk landbruksproduksjon","Gyldig fra 03.11.2020 til 30.12.2021",59.6720847,11.3754427,"Trøgstad","Indre Østfold","Viken","none","VIKEN","TRØGSTAD"
"Aas Ola N.","Åsengan 75 , 2540 TOLGA","Org. nr. 969 902 966","Økologisk landbruksproduksjon","Gyldig fra 09.02.2020 til 30.12.2021",62.3395152,10.8630652,"Tolga","Tolga","Innlandet","none","Vestre Østland DVH","TOLGA"
"Aas Per-Anton","Rossgutua 130 , 2848 SKREIA","Org. nr. 869 750 522","Foredling, import og omsetning","Gyldig fra 10.06.2020 til 30.12.2021",60.6402094,10.936333,"Skreia","Østre Toten","Innlandet","none","Vestre Østland DVH","ØSTRE TOTEN"
"Aas Rune","Byflatvegen 60 A , 2385 BRUMUNDDAL","Org. nr. 919 907 290","Økologisk landbruksproduksjon","Gyldig fra 15.09.2020 til 30.12.2021",60.9046806,10.9311399,"Brumunddal","Ringsaker","Innlandet","none","Vestre Østland DVH","RINGSAKER"
"Aas Steinar","Kjettorpveien 72 , 3180 NYKIRKE","Org. nr. 969 118 998","Økologisk landbruksproduksjon","Gyldig fra 16.09.2020 til 30.12.2021",59.4018043,10.3537111,"Nykirke","Horten","Vestfold og Telemark","none","Vestre Østland DVH","HORTEN"
"Aasberg Frøy Emil","Dagalivegen 122 , 3588 DAGALI","Org. nr. 996 322 785","Foredling, import og omsetning","Gyldig fra 25.10.2020 til 30.12.2021",60.412743,8.4288445,"Geilo","Hol","Viken","none","VIKEN","HOL"
"Aase Hans Jørgen","Gavlesjåvegen 82 , 3677 NOTODDEN","Org. nr. 971 324 325","Økologisk landbruksproduksjon","Gyldig fra 25.10.2020 til 30.12.2021",59.5869072,9.0623912,"Notodden","Notodden","Vestfold og Telemark","none","Vestre Østland DVH","NOTODDEN"
"Aasen Asbjørn","Åsavegen 156 B , 6871 JOSTEDAL","Org. nr. 970 322 035","Økologisk landbruksproduksjon","Gyldig fra 14.05.2020 til 30.12.2021",61.7365725,7.3736437,0,"Luster","Vestland","none","Vest Norge DVH","LUSTER"
"Aasen Jan Arne","Bårdsetvegen 310 , 2385 BRUMUNDDAL","Org. nr. 969 430 630","Økologisk landbruksproduksjon","Gyldig fra 14.09.2020 til 30.12.2021",60.9441827,10.8178271,"Brumunddal","Ringsaker","Innlandet","none","Vestre Østland DVH","RINGSAKER"
"Aaslund Unn Hege","Gosenveien 13 , 7718 STEINKJER","Org. nr. 915 743 951","Økologisk landbruksproduksjon","Gyldig fra 30.06.2020 til 30.12.2021",64.029584,11.6692159,"Steinkjer","Steinkjer","Trøndelag","none","Midt Norge DVH","STEINKJER"
"Aasnæs Nils Erland","Stokkeveien 42 , 3070 SANDE I VESTFOLD","Org. nr. 975 925 994","Økologisk landbruksproduksjon","Gyldig fra 07.12.2020 til 30.12.2021",59.5702548,10.2012748,"Sande i Vestfold","Holmestrand","Vestfold og Telemark","none","Vestre Østland DVH","HOLMESTRAND"
"Aasprang Peder Hanem","Meisingsetvågen 812 , 6628 MEISINGSET","Org. nr. 979 652 305","Økologisk landbruksproduksjon","Gyldig fra 01.09.2020 til 30.12.2021",62.8617106,8.3011607,0,0,"Møre og Romsdal","none","Midt Norge DVH","#N/A"
"Aastad Impulssenter AS Kjell Sigurd Bringsjord","Skustadgt. 20 , 1396 BILLINGSTAD","Org. nr. 985 847 339","Økologisk landbruksproduksjon","Gyldig fra 16.09.2020 til 30.12.2021",59.8713185,10.468789,"Billingstad","Asker","Viken","none","VIKEN","ASKER"
"Åbø Gård Hege K. Håkonsen","Vreimsida 426 , 3803 BØ I TELEMARK","Org. nr. 993 965 995","Økologisk landbruksproduksjon","Gyldig fra 22.04.2020 til 30.12.2021",59.4192256,8.9757809,"Bø i Telemark","Midt-telemark","Vestfold og Telemark","none","Vestre Østland DVH","#N/A"
"Abrahamsen Audun","Stauslandstunet 20 , 4640 SØGNE","Org. nr. 980 775 453","Foredling, import og omsetning","Gyldig fra 18.11.2020 til 30.12.2021",58.0874184,7.840962,"Søgne","Kristiansand","Agder","none","Vest Norge DVH","KRISTIANSAND"
"Abrahamsen Kåre Arnold","Hålandveien 17 , 3158 ANDEBU","Org. nr. 969 922 754","Økologisk landbruksproduksjon","Gyldig fra 26.11.2020 til 30.12.2021",59.35466,10.1676088,"Andebu","Sandefjord","Vestfold og Telemark","none","Vestre Østland DVH","SANDEFJORD"
"Abrahamsen Svein","Stave Gård, Nordbygdveien 92 , 4560 VANSE","Org. nr. 989 501 704","Økologisk landbruksproduksjon","Gyldig fra 02.12.2020 til 30.12.2021",58.1212491,6.5985219,"Vanse","Farsund","Agder","none","Vest Norge DVH","FARSUND"
"Achilles Hjemmebakeri","Løkenvegen 79 , 2344 ILSENG","Org. nr. 987 012 013","Foredling, import og omsetning","Gyldig fra 19.04.2020 til 30.12.2021",60.7707015,11.2443202,"Ilseng","Stange","Innlandet","none","Vestre Østland DVH","STANGE"
"Aeschlimann Martin","Tørsdalsvegen 573, Søre Skogen , 5574 SKJOLD","Org. nr. 985 072 930","Økologisk landbruksproduksjon","Gyldig fra 03.08.2020 til 30.12.2021",59.4784101,5.698747,"Skjold","Vindafjord","Rogaland","none","Vest Norge DVH","VINDAFJORD"
"Agder Grossisten AS","Skyttetheia 5 , 4790 LILLESAND","Org. nr. 980 634 728","Foredling, import og omsetning","Gyldig fra 16.09.2020 til 30.12.2021",58.2394464,8.3036964,"Lillesand","Lillesand","Agder","none","Vest Norge DVH","LILLESAND"
"Agder Villsau DA Leif Christian Torsøe","Heisel 29, Sagjordet , 4700 VENNESLA","Org. nr. 887 612 382","Økologisk landbruksproduksjon","Gyldig fra 11.05.2020 til 30.12.2021",58.250052,7.9499362,"Vennesla","Vennesla","Agder","none","Vest Norge DVH","VENNESLA"
"Agnirom AS","Gamle Bomansvikvei 15 , 1459 NESODDEN","Org. nr. 920 828 248","Foredling, import og omsetning","Gyldig fra 11.05.2020 til 30.12.2021",59.7912974,10.6982185,"Nesoddtangen","Nesodden","Viken","none","VIKEN","NESODDEN"
"Agrossist/as","Brunlaugbakken 16 , 2625 FÅBERG","Org. nr. 924 437 952","Foredling, import og omsetning","Gyldig fra 04.07.2020 til 30.12.2021",61.1662396,10.4006347,"Fåberg","Lillehammer","Innlandet","none","Vestre Østland DVH","LILLEHAMMER"
"AgroTech Production AS","Øravn 17 , 1630 GAMLE FREDRIKSTAD","Org. nr. 996 735 664","Foredling, import og omsetning","Gyldig fra 16.08.2020 til 30.12.2021",59.1905426,10.956946,"Gamle Fredrikstad","Fredrikstad","Viken","none","VIKEN","FREDRIKSTAD"
"Åkre Gjermund O.","Fjordavegen 2010 , 5776 NÅ","Org. nr. 986 821 074","Økologisk landbruksproduksjon","Gyldig fra 28.09.2020 til 30.12.2021",60.2563391,6.5673639,0,0,"none","none","#N/A","#N/A"
"Akvafarm AS","Bergsfjordveien 1122 , 9385 SKALAND","Org. nr. 957 175 708","Økologisk akvakultur","Gyldig fra 12.12.2020 til 30.12.2021",69.44096,17.4550571,"Skaland","Senja","Troms og Finnmark","none","Nord Norge DVH","#N/A"
"Akvafarm avd. Sørfjord","Faksfjordvn. 735 , 9311 BRØSTADBOTN","Org. nr. 957 175 708","Økologisk akvakultur","Gyldig fra 17.08.2020 til 30.12.2021",68.9580515,17.5613171,"Brøstadbotn","Dyrøy","Troms og Finnmark","none","Nord Norge DVH","DYRØY"
"Åland Tove og Knut","Lauvdalen 186 , 8360 BØSTAD","Org. nr. 969 304 252","Foredling, import og omsetning","Gyldig fra 07.07.2020 til 30.12.2021",68.2456533,13.897976,"Bøstad","Vestvågøy","Nordland","none","Nord Norge DVH","VESTVÅGØY"
"Alfafood AS","Kongleveien 37 , 3055 KROKSTADELVA","Org. nr. 966 965 355","Foredling, import og omsetning","Gyldig fra 07.07.2020 til 30.12.2021",59.7693245,9.9985674,"Krokstadelva","Drammen","Viken","none","VIKEN","DRAMMEN"
"Alfalfa Økologiske Tove Iren Skaar,","Bøygen 16 , 4019 STAVANGER","Org. nr. 987 756 152","Økologisk landbruksproduksjon","Gyldig fra 18.01.2021 til 30.12.2022",58.9458499,5.7152747,"Stavanger","Stavanger","Rogaland","none","Vest Norge DVH","STAVANGER"
"Algea AS","Postboks 2143 , 6502 KRISTIANSUND N","Org. nr. 910 116 940","Økologisk akvakultur","Gyldig fra 26.10.2020 til 30.12.2021",63.1103346,7.7280789,0,0,"none","none","#N/A","#N/A"
"Alimenta AS","Postboks 23 , 2017 FROGNER","Org. nr. 984 952 910","Foredling, import og omsetning","Gyldig fra 21.06.2020 til 30.12.2021",59.9167392,10.706842,0,0,"Oslo","none","OSLO","OSLO"
"Almaas Sissel og Arne","Almås 70 , 7977 HØYLANDET","Org. nr. 979 142 145","Økologisk landbruksproduksjon","Gyldig fra 01.11.2020 til 30.12.2021",64.6477344,12.3037644,"Høylandet","Høylandet","Trøndelag","none","Midt Norge DVH","HØYLANDET"
"Alna AS","Treveien 5 , 1540 VESTBY","Org. nr. 984 979 193","Foredling, import og omsetning","Gyldig fra 18.11.2020 til 30.12.2021",59.5794497,10.7404228,"Vestby","Vestby","Viken","none","VIKEN","VESTBY"
"Altern Kjetil","Øst-Modumvn. 592 , 3370 VIKERSUND","Org. nr. 976 184 025","Økologisk landbruksproduksjon","Gyldig fra 02.06.2020 til 30.12.2021",60.0052225,10.0531449,"Vikersund","Modum","Viken","none","VIKEN","MODUM"
"Alvens Godteri det Anarkistiske Fruktforedleri","Krambugt. 19 , 4330 ÅLGÅRD","Org. nr. 998 777 224","Foredling, import og omsetning","Gyldig fra 29.06.2020 til 30.12.2021",58.763844,5.8521415,"Ålgård","Gjesdal","Rogaland","none","Vest Norge DVH","GJESDAL"
"Alvsaker Lars Johan","Fjordavegen 5151, Alsåker Indre , 5778 UTNE","Org. nr. 869 317 462","Økologisk landbruksproduksjon","Gyldig fra 29.06.2020 til 30.12.2021",60.3912242,6.5020789,0,0,"none","none","#N/A","#N/A"
"Alvsvåg Hest og Omsorg","Vassbotnvegen 50 , 5546 RØYKSUND","Org. nr. 987 898 321","Økologisk landbruksproduksjon","Gyldig fra 23.11.2020 til 30.12.2021",59.3598777,5.3550984,"Røyksund","Karmøy","Rogaland","none","Vest Norge DVH","KARMØY"
"AM Nutrition","Postboks 208 Sentrum , 4001 STAVANGER","Org. nr. 987 651 059","Foredling, import og omsetning","Gyldig fra 29.04.2020 til 30.12.2021",58.9706621,5.7397907,0,0,"Rogaland","none","Vest Norge DVH","#N/A"
"Åmås Samdrift A/S","Follestaddalen 1366 , 6156 ØRSTA","Org. nr. 989 484 923","Økologisk landbruksproduksjon","Gyldig fra 12.10.2020 til 30.12.2021",62.1858748,6.2307056,"Ørsta","Ørsta","Møre og Romsdal","none","Midt Norge DVH","ØRSTA"
"Amlien Hans O.","Amlienvegen 54 , 2843 EINA","Org. nr. 969 742 780","Økologisk landbruksproduksjon","Gyldig fra 29.03.2020 til 30.12.2021",60.5648537,10.628922,"Eina","Vestre Toten","Innlandet","none","Vestre Østland DVH","VESTRE TOTEN"
"Amundsen Geir","Haukenes 88 , 8450 STOKMARKNES","Org. nr. 969 155 621","Økologisk landbruksproduksjon","Gyldig fra 03.02.2020 til 30.12.2021",68.598688,15.0755359,"Stokmarknes","Hadsel","Nordland","none","Nord Norge DVH","HADSEL"
"Anda Kolbjørn","Austmarka 1 , 4073 RANDABERG","Org. nr. 969 372 118","Økologisk landbruksproduksjon","Gyldig fra 10.08.2020 til 30.12.2021",58.9806285,5.6509985,"Randaberg","Randaberg","Rogaland","none","Vest Norge DVH","RANDABERG"
"Andersen Hege Nedrebø","Fidselvn 101 , 4404 FLEKKEFJORD","Org. nr. 920 520 561","Økologisk landbruksproduksjon","Gyldig fra 26.04.2020 til 30.12.2021",58.2744303,6.5479768,"Flekkefjord","Flekkefjord","Agder","none","Vest Norge DVH","FLEKKEFJORD"
"Andersen Kjell Einar","Vestgårdveien 3 , 1735 VARTEIG","Org. nr. 981 876 865","Økologisk landbruksproduksjon","Gyldig fra 29.11.2020 til 30.12.2021",59.3468525,11.1625786,"Varteig","Sarpsborg","Viken","none","VIKEN","SARPSBORG"
"Andersen Kjetil R.","Luksefjellvn. 432 , 3721 Skien","Org. nr. 917 337 195","Økologisk landbruksproduksjon","Gyldig fra 08.09.2020 til 30.12.2021",59.2582032,9.5790975,"Skien","Skien","Vestfold og Telemark","none","Vestre Østland DVH","SKIEN"
"Andersen Øystein","Grønvoldvegen 580 , 3830 ULEFOSS","Org. nr. 970 570 233","Foredling, import og omsetning","Gyldig fra 11.11.2020 til 30.12.2021",59.272964,9.3451247,"Ulefoss","Nome","Vestfold og Telemark","none","Vestre Østland DVH","NOME"
"Andersen Stig Rune","Nordgrenda 174 , 7350 BUVIKA","Org. nr. 971 653 884","Økologisk landbruksproduksjon","Gyldig fra 22.11.2020 til 30.12.2021",63.3080904,10.2172281,"Buvika","Skaun","Trøndelag","none","Midt Norge DVH","SKAUN"
"Andeshandel AS","Marie Føreidsvei 12 , 4640 SØGNE","Org. nr. 921 220 553","Foredling, import og omsetning","Gyldig fra 12.10.2020 til 30.12.2021",58.9543312,5.7287953,"Stavanger","Stavanger","Rogaland","none","Vest Norge DVH","STAVANGER"
"Andreassen Asgeir","Bø , 8484 RISØYHAMN","Org. nr. 976 533 119","Økologisk landbruksproduksjon","Gyldig fra 15.10.2020 til 30.12.2021",69.042359,15.5156415,0,0,"none","none","#N/A","#N/A"
"Alvens Godteri det Anarkistiske Fruktforedleri","Krambugt. 19 , 4330 ÅLGÅRD","Org. nr. 998 777 224","Foredling, import og omsetning","Gyldig fra 29.06.2020 til 30.12.2021",58.763844,5.8521415,"Ålgård","Gjesdal","Rogaland","none","Vest Norge DVH","GJESDAL"
"Alvsaker Lars Johan","Fjordavegen 5151, Alsåker Indre , 5778 UTNE","Org. nr. 869 317 462","Økologisk landbruksproduksjon","Gyldig fra 29.06.2020 til 30.12.2021",60.3912242,6.5020789,0,0,"none","none","#N/A","#N/A"
"Alvsvåg Hest og Omsorg","Vassbotnvegen 50 , 5546 RØYKSUND","Org. nr. 987 898 321","Økologisk landbruksproduksjon","Gyldig fra 23.11.2020 til 30.12.2021",59.3598777,5.3550984,"Røyksund","Karmøy","Rogaland","none","Vest Norge DVH","KARMØY"
"AM Nutrition","Postboks 208 Sentrum , 4001 STAVANGER","Org. nr. 987 651 059","Foredling, import og omsetning","Gyldig fra 29.04.2020 til 30.12.2021",58.9706621,5.7397907,0,0,"Rogaland","none","Vest Norge DVH","#N/A"
"Åmås Samdrift A/S","Follestaddalen 1366 , 6156 ØRSTA","Org. nr. 989 484 923","Økologisk landbruksproduksjon","Gyldig fra 12.10.2020 til 30.12.2021",62.1858748,6.2307056,"Ørsta","Ørsta","Møre og Romsdal","none","Midt Norge DVH","ØRSTA"
"Amlien Hans O.","Amlienvegen 54 , 2843 EINA","Org. nr. 969 742 780","Økologisk landbruksproduksjon","Gyldig fra 29.03.2020 til 30.12.2021",60.5648537,10.628922,"Eina","Vestre Toten","Innlandet","none","Vestre Østland DVH","VESTRE TOTEN"
"Amundsen Geir","Haukenes 88 , 8450 STOKMARKNES","Org. nr. 969 155 621","Økologisk landbruksproduksjon","Gyldig fra 03.02.2020 til 30.12.2021",68.598688,15.0755359,"Stokmarknes","Hadsel","Nordland","none","Nord Norge DVH","HADSEL"
"Anda Kolbjørn","Austmarka 1 , 4073 RANDABERG","Org. nr. 969 372 118","Økologisk landbruksproduksjon","Gyldig fra 10.08.2020 til 30.12.2021",58.9806285,5.6509985,"Randaberg","Randaberg","Rogaland","none","Vest Norge DVH","RANDABERG"
"Andersen Hege Nedrebø","Fidselvn 101 , 4404 FLEKKEFJORD","Org. nr. 920 520 561","Økologisk landbruksproduksjon","Gyldig fra 26.04.2020 til 30.12.2021",58.2744303,6.5479768,"Flekkefjord","Flekkefjord","Agder","none","Vest Norge DVH","FLEKKEFJORD"
"Andersen Kjell Einar","Vestgårdveien 3 , 1735 VARTEIG","Org. nr. 981 876 865","Økologisk landbruksproduksjon","Gyldig fra 29.11.2020 til 30.12.2021",59.3468525,11.1625786,"Varteig","Sarpsborg","Viken","none","VIKEN","SARPSBORG"
"Andersen Kjetil R.","Luksefjellvn. 432 , 3721 Skien","Org. nr. 917 337 195","Økologisk landbruksproduksjon","Gyldig fra 08.09.2020 til 30.12.2021",59.2582032,9.5790975,"Skien","Skien","Vestfold og Telemark","none","Vestre Østland DVH","SKIEN"
"Andersen Øystein","Grønvoldvegen 580 , 3830 ULEFOSS","Org. nr. 970 570 233","Foredling, import og omsetning","Gyldig fra 11.11.2020 til 30.12.2021",59.272964,9.3451247,"Ulefoss","Nome","Vestfold og Telemark","none","Vestre Østland DVH","NOME"
"Andersen Stig Rune","Nordgrenda 174 , 7350 BUVIKA","Org. nr. 971 653 884","Økologisk landbruksproduksjon","Gyldig fra 22.11.2020 til 30.12.2021",63.3080904,10.2172281,"Buvika","Skaun","Trøndelag","none","Midt Norge DVH","SKAUN"
"Andeshandel AS","Marie Føreidsvei 12 , 4640 SØGNE","Org. nr. 921 220 553","Foredling, import og omsetning","Gyldig fra 12.10.2020 til 30.12.2021",58.9543312,5.7287953,"Stavanger","Stavanger","Rogaland","none","Vest Norge DVH","STAVANGER"
"Andreassen Asgeir","Bø , 8484 RISØYHAMN","Org. nr. 976 533 119","Økologisk landbruksproduksjon","Gyldig fra 15.10.2020 til 30.12.2021",69.042359,15.5156415,0,0,"none","none","#N/A","#N/A"
"Andreassen Bård","Selnesveien 1007, Nordre Hestnes Gård , 9042 LAKSVATN","Org. nr. 991 411 771","Økologisk landbruksproduksjon","Gyldig fra 10.12.2020 til 30.12.2021",69.397547,19.0709649,"Laksvatn","Balsfjord","Troms og Finnmark","none","Nord Norge DVH","BALSFJORD"
"Andreassen Elin og Kurt","Tranøyvn. 767, Brennvik gård , 8294 HAMARØY","Org. nr. 969 383 268","Økologisk landbruksproduksjon","Gyldig fra 10.12.2020 til 30.12.2021",68.1460964,15.6121976,0,0,"Nordland","none","Nord Norge DVH","#N/A"
"Andresen Espen","Kvernsjøvn 184 , 7125 VANVIKAN","Org. nr. 918 613 684","Økologisk landbruksproduksjon","Gyldig fra 09.09.2020 til 30.12.2021",63.564613,10.1504578,"Vanvikan","Indre Fosen","Trøndelag","none","Midt Norge DVH","INDRE FOSEN"
"Andresen Hans Jakob","Tønnebergvn 65, Østenby , 1970 HEMNES","Org. nr. 982 695 864","Økologisk landbruksproduksjon","Gyldig fra 08.11.2020 til 30.12.2021",59.7195749,11.4555219,0,0,"none","none","#N/A","#N/A"
"Anne Helen Høie","Fosservn. 144 , 1892 DEGERNES","Org. nr. 915 235 425","Økologisk landbruksproduksjon","Gyldig fra 02.08.2020 til 30.12.2021",59.3533194,11.4225805,0,0,"none","none","#N/A","#N/A"
"Anno Museum avd. Domkirkeodden","Postboks 117 , 2401 ELVERUM","Org. nr. 962 388 663","Økologisk landbruksproduksjon","Gyldig fra 05.07.2020 til 30.12.2021",60.8706082,11.5596753,"Elverum","Elverum","Innlandet","none","Vestre Østland DVH","ELVERUM"
"Antonsen Trude Viola","Himbergveien 97 , 3175 RAMNES","Org. nr. 990 275 904","Økologisk landbruksproduksjon","Gyldig fra 21.09.2020 til 30.12.2021",59.3317765,10.2952234,"Ramnes","Tønsberg","Vestfold og Telemark","none","Vestre Østland DVH","TØNSBERG"
"Anvik Øvre - Grønn glede","Anvikveien 41 , 3294 STAVERN","Org. nr. 921 566 409","Økologiske juletrær og pyntegrønt","Gyldig fra 09.08.2020 til 30.12.2021",58.9743613,9.958791,"Stavern","Larvik","Vestfold og Telemark","none","Vestre Østland DVH","LARVIK"
"Anzjøn Joar","Fjellbygdvn 72 , 7750 NAMDALSEID","Org. nr. 969 437 295","Økologisk landbruksproduksjon","Gyldig fra 27.04.2020 til 30.12.2021",64.2405941,11.1948386,0,"Namsos","Trøndelag","none","Midt Norge DVH","NAMSOS"
"Apeland Kristian","Berge 44 , 4330 ÅLGÅRD","Org. nr. 996 311 082","Økologisk landbruksproduksjon","Gyldig fra 20.10.2020 til 30.12.2021",58.7878407,5.9313659,"Ålgård","Gjesdal","Rogaland","none","Vest Norge DVH","GJESDAL"
"Aponor AS","Holmejordetvn.34 , 3267 LARVIK","Org. nr. 988 791 245","Foredling, import og omsetning","Gyldig fra 26.04.2020 til 30.12.2021",59.0116361,9.9237907,0,"Larvik","Vestfold og Telemark","none","Vestre Østland DVH","LARVIK"
